NAME                                  READY   STATUS    RESTARTS   AGE
bloaty-mcbloatface-58c98b98d8-225cg   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-4mhck   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-66zmq   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-79dmg   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-8s9cq   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-9qd24   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-ddcch   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-dvmm7   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-ltg5r   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-pqhbm   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-ptrzm   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-qb9ww   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-qxfcr   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-vnkpm   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-zlsg5   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-zprqt   1/1     Running   0          20m
bloaty-mcbloatface-58c98b98d8-zwrfn   1/1     Running   0          20m
green-5cdd96c9b4-6fd9j                1/1     Running   0          29m
green-5cdd96c9b4-g4f26                1/1     Running   0          29m
green-5cdd96c9b4-zgjb5                1/1     Running   0          29m
